종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"064350","현대로템","184800","-9100","-4.69","193900","193900","184700","1160036","217143166900","20169495746400","109142293"
"079430","현대리바트","8290","-160","-1.89","8560","8560","8290","37928","317742680","170237487780","20535282"
"012330","현대모비스","306500","-7000","-2.23","311500","312000","304000","186798","57455104000","28135196311000","91795094"
"069960","현대백화점","78600","300","0.38","77800","78800","77200","53786","4215085350","1778624701800","22628813"
"004560","현대비앤지스틸","13060","250","1.95","12850","13250","12850","79858","1043653020","196929271660","15078811"
"004310","현대약품","3540","-15","-0.42","3535","3570","3510","52035","184134740","113280000000","32000000"
"017800","현대엘리베이터","87400","500","0.58","87000","89700","86100","290739","25584042200","3416674449000","39092385"
"307950","현대오토에버","168400","100","0.06","169000","171900","167300","43615","7385489500","4618198568800","27423982"
"011210","현대위아","51500","800","1.58","51000","52300","50100","186194","9587702800","1400546774500","27195083"
"004020","현대제철","35000","1950","5.90","33900","36200","33800","2804575","98995004175","4670602475000","133445785"
"005440","현대지에프홀딩스","9500","-40","-0.42","9570","9590","9370","271950","2578234020","1481090859500","155904301"
"005380","현대차","208000","0","0.00","209000","211500","207500","592335","123771830000","42589615328000","204757766"
"005387","현대차2우B","160900","-700","-0.43","162000","162800","160800","99072","16017631500","5625696337000","34963930"
"005389","현대차3우B","158000","300","0.19","158400","159000","157900","15597","2469187000","367737416000","2327452"
"005385","현대차우","157900","-100","-0.06","158200","159000","157700","137521","21773734350","3685537584000","23340960"
"001500","현대차증권","9930","310","3.22","9980","10080","9830","561557","5580179045","614002126920","61833044"
"011760","현대코퍼레이션","28050","500","1.81","28250","28250","27575","56152","1567669425","371072496300","13228966"
"227840","현대코퍼레이션홀딩스","14350","10","0.07","14370","14530","14200","31128","447370160","130596996600","9100836"
"126560","현대퓨처넷","3570","-80","-2.19","3655","3715","3535","168270","603488400","393424513650","110202945"
"001450","현대해상","28350","250","0.89","28250","29050","28150","645710","18445410925","2534490000000","89400000"
"057050","현대홈쇼핑","57700","-100","-0.17","57900","58000","57300","13277","764232100","692400000000","12000000"
"093240","형지엘리트","3525","205","6.17","3300","3650","3265","4374424","15469839281","135325662975","38390259"
"003010","혜인","5420","0","0.00","5420","5510","5310","217751","1183310130","68903088740","12712747"
"111110","호전실업","9050","-90","-0.98","9140","9140","8990","17161","155430820","84852800000","9376000"
"008770","호텔신라","49900","150","0.30","49750","50200","49300","220840","10968017000","1958481237900","39248121"
"008775","호텔신라우","43100","-600","-1.37","43900","43900","43050","3659","158825150","32405984900","751879"
"378850","화승알앤에이","3325","-5","-0.15","3330","3360","3290","68170","226271895","63153796475","18993623"
"241590","화승엔터프라이즈","8380","-20","-0.24","8470","8500","8250","261505","2181017875","507738132880","60589276"
